Date,Group,Blinds,Players,Profit
02/10/25,Poker Society,10p/20p,7,-18
09/10/25,Poker Society,10p/25p,8,10.25
24/10/25,Random Home Game,1/1,8,69
30/10/25,HP DG MB JF RP,10p/20p,6,38
03/11/25,HP DG MB RP EB AB,10p/20p,7,-17.6
04/11/25,HP DG MB RP,10p/20p,5,-7.7
07/11/25,HP DG MB JF (KD),10p/20p,5.5,-19.5
07/11/25,HP DG MB,10p/20p,5,-16.6
08/11/25,Random Home Game (MB),20p/20p,6,138
11/11/25,HP DG MB Zain Avi AJ RS,10p/20p,6.5,37
14/11/25,HP AS DG MB ZH EB,10p/20p,5.5,-0.6
18/11/25,HP AS DG MA...,10p/20p,6,4.8
19/11/25,HP DG AS MB,10p/20p,5.5,10.3
20/11/25,HP VC EB,10p/20p,4,5.85
28/11/25,HP DG AS ZH RS EB,10p/20p,5,-46.4
29/11/25,Random Home Game,20p/20p,6,-86.4
02/12/25,HP DG AS MB,10p/20p,5.5,-17.2
03/12/25,HP DG AS MB ZH,10p/20p,6,-26.4
04/12/25,HP DG AS MB ZH EB,10p/20p,6,46.5
04/12/25,Poker Society,10p/20p,6,21.5
08/12/25,HP AS DG MB,10p/20p,5,27.2
09/12/25,HP AS DG MB DH AJ,10p/20p,7,-17.4
09/12/25,Hindu Society Poker (MB),10p/20p,5.5,25.5
09/12/25,MB JF AK (Carr),10p/20p,6,-10
10/12/25,MB,10p/20p,2,3.4
10/12/25,HP DG MB AS JF,10p/20p,6,-20
11/12/25,Poker Society (MB),10p/20p,6,3.51
16/01/26,HP MB DG AS AJ ZH JF,10p/20p,8,70.6
19/01/26,HP MB DG AS JF,10p/20p,6,-20.2
21/01/26,HP MB AS,10p/20p,4,-12
22/01/26,MB JF AK (Carr),10p/20p,7,14
23/01/26,Random Home Game,10p/20p,6.5,-13
27/01/26,HP MB AS,10p/20p,4,23
29/01/26,Poker Society,5p/10p,7,28.65
29/01/26,Poker Society,20p/20p,8,18.8
02/02/26,Random Home Game,50p/50p,7,28
